DishName,Description,Region,MainIngredient,Ingredients,StateOfMainIngredient,DietType,MealEatenAtPartOfDay,Variations,FlavorProfiles,PreparationMethod,PreparationTimeMinutes,MeatCut
Buletten-Auflauf,Baked meatball casserole with cheese and sauce.,"North Rhine-Westphalia, Bavaria, Austria",Meatballs,"meatballs, potatoes, cheese, cream, onions, flour, spices, gravy",cooked,"omnivore, vegetarian",dinner,"with vegetables, with different sauces, vegetarian","savory, cheesy, creamy, buttery, aromatic",baked,45,"beef, pork"
Bunte Bratkartoffelpfanne mit Spiegelei,Pan-fried potatoes with egg.,"Bavaria, Austria, Switzerland",Potato,"potato, onion, egg, oil, salt, pepper, herbs",sliced,"vegetarian, omnivore","lunch, dinner, anytime","with bacon, with sausage, with mushrooms","savory, buttery, aromatic, mild",frying,20,
Bunter Kartoffelsalat und Putenspiesschen mit Sesamkruste,Colorful potato salad and sesame-crusted turkey skewers.,"Baden-Wurttemberg, Bavaria, Austria",Potato,"potatoes, turkey, onion, vinegar, oil, mustard, herbs, sesame seeds, mayonnaise",boiled,"omnivore, vegetarian","lunch, dinner","with bacon, with different dressings, grilled vegetables","savory, tangy, aromatic, buttery","boiling, grilling",25,turkey thigh
Burger mit Sauerkraut,A burger topped with fermented cabbage.,"Bavaria, Austria, Switzerland",Burger,"beef, sauerkraut, burger bun, onion, pickles, mayonnaise, mustard",cooked,omnivore,"lunch, dinner","veggie burger, chicken burger, pulled pork burger","savory, tangy, aromatic, smoky",frying,15,beef mince
Butterbrezel mit Schnittlauch,Baked pretzel with chopped chives.,"Bavaria, Austria, Southern",Pretzel,"flour, water, yeast, butter, chives, salt",baked,"vegetarian, omnivore",anytime,"with cheese, with seeds, sweet","buttery, savory, aromatic, mild",baked,10,
Buttermilchplinsen,"Soft dumplings, often served with apples and quark.","Bavaria, Rhineland-Palatinate, Austria",Flour,"flour, buttermilk, eggs, salt, sugar, butter",boiled,"vegetarian, omnivore","lunch, dinner","with quark, with apples, savory","buttery, creamy, mild, savory",boiling,25,
Cannelloni mit Wirsing-Ricotta-Fuellung und Hack-Sosse,Baked pasta tubes filled with cabbage and ricotta in a meat sauce.,"Bavaria, Austria, Switzerland",Pasta,"pasta tubes, cabbage, ricotta, ground meat, onion, tomato paste, broth, parmesan, nutmeg, salt, pepper, olive oil",cooked,"omnivore, vegetarian",dinner,"vegetarian sauce, different types of cheese","savory, creamy, cheesy, aromatic, umami",baked,45,ground beef
Champagnerkraut,Sauerkraut braised in champagne with onions and spices.,"Rhineland-Palatinate, Baden-Württemberg, France",Sauerkraut,"sauerkraut, champagne, onion, bacon, white pepper, bay leaf, nutmeg, white wine vinegar",fermented,"vegetarian, omnivore",dinner,"with pork, with juniper berries","sour, savory, aromatic, buttery",braising,45,
Champignon-Kartoffel-Pfanne mit Fruehlingszwiebeln,Pan-fried potatoes and mushrooms with spring onions.,"Bavaria, Austria, Switzerland",Potato,"potato, mushroom, spring onion, oil, salt, pepper, cream, herbs",sliced,"vegetarian, omnivore","lunch, dinner","with bacon, with sausage, with cheese","savory, buttery, creamy, earthy, mild",frying,20,
Champignonschnitzel,Breaded and fried mushroom cutlet.,"Bavaria, Austria, Switzerland",Champignon,"champignons, breadcrumbs, flour, eggs, milk, oil, salt, pepper, parsley",sliced,"vegetarian, omnivore","lunch, dinner","with different sauces, filled with cheese","savory, umami, aromatic, buttery, mild",frying,15,
Crespelle mit Wirsing,Savory pancakes filled with braised cabbage.,"Bavaria, Austria, Baden-Württemberg",Cabbage,"cabbage, flour, eggs, milk, butter, onion, nutmeg, salt, pepper",braised,"vegetarian, omnivore","lunch, dinner","with bacon, with cheese","savory, earthy, creamy, buttery",braising,35,
Curry (Gewuerz),"A flavorful dish with a rich, aromatic sauce, often served with rice or bread.","North Rhine-Westphalia, Lower Saxony, Austria",Potato,"curry powder, onion, tomato paste, yogurt, oil, salt, pepper, cilantro",diced,"vegetarian, vegan, omnivore","lunch, dinner, anytime","chicken, lamb, fish, vegetable","spicy, savory, aromatic, tangy",fried,25,
Curry Bratwurst,"Grilled sausage simmered in curry sauce, often served in a bread roll.","North Rhine-Westphalia, Lower Saxony, Austria",Sausage,"sausage, curry powder, onion, tomato paste, yogurt, vegetable oil, water, salt, pepper",grilled,omnivore,anytime,"with rice, with potatoes, vegetarian","spicy, savory, aromatic, tangy",grilled then simmered,15,pork
Currywurst,Grilled or fried sausage served with curry ketchup.,"Berlin, Bavaria, Hamburg, Austria",Sausage,"sausage, tomato paste, curry powder, vinegar, sugar, salt, pepper, vegetable oil",sliced,"omnivore, halal",anytime,"with fries, with bread, with mayonnaise","spicy, savory, aromatic, smoky, tangy",frying,10,pork
DDR Broetchen Rezept,"Simple bread rolls, often associated with a specific era.","Eastern Europe, Poland, Czech Republic",Wheat Flour,"Wheat Flour, Water, Yeast, Salt, Sugar",baked,"vegetarian, omnivore","breakfast, anytime","with seeds, with caraway, sweet","mild, buttery, savory",baked,25,
DDR Tomatensosse Rezept,"Simple tomato sauce, often served with pasta or potatoes.","East, Poland, Czech Republic",Tomato,"tomatoes, onion, garlic, vegetable oil, sugar, salt, pepper, bay leaf, herbs",cooked,"vegetarian, vegan, omnivore",anytime,"with herbs, with spices","sour, savory, aromatic, tangy",simmering,20,
DDR-Jaegerschnitzel mit Tomatensosse und Spirelli,Breaded and fried pork cutlet with tomato sauce and spiral pasta.,"East Brandenburg, Saxony, Thuringia, Poland, Czech Republic",Pork,"pork, breadcrumbs, egg, flour, tomato sauce, pasta, onion, oil, salt, pepper","sliced, breaded, fried",omnivore,"lunch, dinner","chicken, veal","savory, buttery, tangy, aromatic",fried,20,pork cutlet
Daenischer Plunder,"Pancake-like dish with a savory filling, often served with applesauce.","Schleswig-Holstein, Denmark",Pancake,"flour, milk, eggs, butter, salt, pork, onions, applesauce",cooked,"omnivore, vegetarian","breakfast, lunch, anytime","with cheese, with vegetables","savory, buttery, creamy, mild",frying,20,
Dampfnudel,"Steamed dumpling, often served with vanilla sauce or fruit compote.","Bavaria, Baden-Württemberg, Austria",Dough,"flour, milk, eggs, yeast, sugar, salt, butter, vanilla, lemon",steamed,"vegetarian, omnivore",anytime,"with savory sauce, filled","sweet, creamy, buttery, mild",steaming,25,
Dampfwurst,"Steamed sausage, often served with mustard and bread.","Bavaria, Austria, Switzerland",Pork,"pork, water, salt, spices, flour, dextrose",boiled,omnivore,anytime,"with cheese, with bacon, smoked","savory, smoky, mild, buttery",boiling,15,
Der wahre Kartoffelsalat,Potato salad with a vinegar and oil dressing.,"Rhineland, Hessen, Bavaria, Austria",Potato,"potato, onion, vinegar, oil, mustard, salt, pepper, chives","boiled, sliced","vegetarian, vegan, omnivore","lunch, anytime","with bacon, with pickles, with broth","sour, savory, aromatic, tangy, buttery",boiling,20,
Deutsche Kueche,A hearty stew typically made with meat and vegetables.,"Bavaria, Austria, Switzerland",Beef,"beef, potatoes, carrots, onions, celery, broth, bay leaf, thyme, flour, oil",cubed,omnivore,"lunch, dinner","chicken, pork, vegetarian","savory, umami, aromatic, buttery",braising,120,beef chuck
Deutsche Kueche in den Vereinigten Staaten,"Hearty bread dumplings served with a rich, flavorful gravy and often accompanied by meat.","Bavaria, Austria, Switzerland",Bread Dumplings,"bread, flour, milk, eggs, onion, marjoram, salt, pepper, gravy",baked,"vegetarian, omnivore","lunch, dinner","with meat filling, with cheese, sweet version","savory, buttery, mild, aromatic",baked,45,
Deutschland-Flaggen-Eis,Ice cream with red and yellow layers representing the national colors.,"Bavaria, Baden-Württemberg, Austria",Ice Cream,"cream, milk, sugar, food coloring, vanilla extract",frozen,"vegetarian, omnivore",anytime,"different fruit flavors, chocolate chips","sweet, creamy, fruity",churning,5,
Deutschland: Krautsalat,Vinegar-based cabbage salad.,"Bavaria, Baden-Württemberg, Austria, Switzerland",Cabbage,"cabbage, vinegar, oil, onion, sugar, salt, pepper, caraway seeds",shredded,"vegetarian, vegan, omnivore","anytime, lunch","with bacon, with vinegar and oil, with apple","sour, savory, tangy, aromatic",marinating,15,
Dibbelabbes,A hearty vegetable stew with potatoes.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Potato,"potato, cabbage, bacon, onion, broth, caraway, marjoram, pepper, salt",boiled,"omnivore, vegetarian",dinner,"with smoked sausage, without bacon","savory, earthy, aromatic, smoky",boiling,45,
Dijon-Senfsosse,Creamy sauce with a distinctive mustard flavor.,"North Rhine-Westphalia, Baden-Württemberg, France, Belgium",Mustard,"mustard, cream, vinegar, sugar, salt, pepper, broth",prepared,"vegetarian, omnivore",anytime,"with herbs, with shallots, with lemon","savory, tangy, aromatic, creamy",whisking,5,
Dinnele - Schwaebische Flammkuchen,Thin-crust tart with creamy cheese and onions.,"Swabia, Baden-Württemberg, Alsace",Dough,"flour, water, salt, yeast, onion, cream, butter, nutmeg, salt, pepper",baked,"vegetarian, omnivore","lunch, dinner","with bacon, with mushrooms, with lardons","savory, cheesy, buttery, aromatic, tangy",baked,25,
Dinnete,A hearty dish of dumplings and meat gravy.,"Bavaria, Austria, Switzerland",Dumpling,"flour, potatoes, onions, bacon, broth, herbs, salt, pepper",boiled,"omnivore, vegetarian","lunch, dinner","with beef, with pork, with liver","savory, umami, aromatic, buttery",boiled,30,
Doener,Seasoned meat served in flatbread with vegetables and sauce.,"Berlin, Hamburg, North Rhine-Westphalia, Austria, Switzerland",Flatbread,"meat, flatbread, lettuce, tomato, onion, cucumber, sauce, yogurt, herbs",baked,"omnivore, halal",anytime,"chicken, beef, vegetarian","savory, aromatic, tangy, creamy, spicy",grilled,5,lamb
Doener Kebab,"Fast food consisting of meat, salad, and sauce in flatbread.","Berlin, Hamburg, North Rhine-Westphalia, Austria, Switzerland",Flatbread,"meat, salad, sauce, onions, tomatoes, cucumber, cabbage",sliced,"omnivore, halal",anytime,"chicken, veggie, fish","savory, spicy, aromatic, tangy, buttery",grilled,5,lamb
Doeppekuchen,A baked yeast cake with fruit and sometimes quark.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Yeast Dough,"flour, yeast, milk, sugar, eggs, butter, fruit (apples, pears, cherries), quark, vanilla",baked,"vegetarian, omnivore","breakfast, anytime","with quark, with fruit compote, savory","sweet, fruity, creamy, buttery",baked,45,
Dominosteine DDR Rezept,Baked rectangular yeast dumplings served with a savory sauce.,"East Thuringia, Saxony, Poland, Czech Republic",Yeast Dough,"yeast, flour, milk, eggs, sugar, salt, butter, breadcrumbs, onion, broth, paprika",baked,"vegetarian, omnivore","lunch, dinner","with cheese, with meat, sweet version","savory, buttery, mild, aromatic",baked,45,
Donauwelle,Chocolate cake with cherries and vanilla custard.,"Bavaria, Austria, Switzerland",Cake,"flour, sugar, eggs, butter, cocoa, cherries, vanilla custard, baking powder",baked,"vegetarian, omnivore",anytime,"different cherry varieties, different cocoa percentages","sweet, creamy, fruity, aromatic, nutty",baking,30,
Drei im Weggla (Bratwurst im Broetchen),Grilled sausages served in a bread roll.,"Bavaria, Austria, Switzerland",Bratwurst,"Bratwurst, bread roll, mustard, sauerkraut, onions",grilled,"omnivore, halal","lunch, anytime","Currywurst, Bratwurst mit Pommes","savory, smoky, aromatic, buttery",grilling,5,pork
Dresdner Eierschecke DDR Rezept,"Baked custard with a caramelized top, often served warm.","Saxony, Bohemia, Austria",Eggs,"eggs, flour, sugar, milk, vanilla, lemon zest, butter, salt",baked,"vegetarian, omnivore","breakfast, anytime","with raisins, with almond extract","sweet, creamy, buttery, aromatic",baking,45,
Echte Frankfurter Gruene Sauce mit Kartoffeln & Tafelspitz,A vibrant green sauce served with boiled potatoes and tender beef.,"Hesse, Bavaria, Austria",Green Sauce,"herbs, sour cream, mayonnaise, vinegar, oil, potatoes, beef, broth, salt, pepper",blended,"omnivore, vegetarian","lunch, dinner","with different herbs, with veal, without beef","sour, savory, aromatic, tangy, creamy, mild",blended,30,Tafelspitz
Eier in Senfsauce (Senfeier),"Boiled eggs in a tangy mustard sauce, often served with boiled potatoes and vegetables.","North Rhine-Westphalia, Lower Saxony, Netherlands",Egg,"eggs, mustard, vinegar, sugar, water, salt, pepper, potatoes, vegetables",boiled,"vegetarian, omnivore, halal, kosher","lunch, dinner","different types of mustard, addition of herbs","sour, savory, aromatic, tangy, creamy","boiled, enveloped in sauce",15,
Eier mit Senfsauce,Boiled eggs served with a mustard-based sauce.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Egg,"egg, mustard, vinegar, water, salt, pepper",boiled,"vegetarian, omnivore","breakfast, lunch, anytime","different types of mustard, addition of herbs","savory, tangy, creamy, mild","boiled, sauced",10,
Eierpunsch,"Warm, spiced egg and wine beverage.","Bavaria, Austria, Switzerland",Egg,"egg, white wine, sugar, lemon zest, nutmeg, cinnamon, vanilla, lemon juice",raw,"vegetarian, omnivore",anytime,"with rum, without wine","sweet, aromatic, creamy, fruity, tangy",whisking,5,
Eiersalat-Brotaufstrich,Creamy egg salad spread served on bread.,"North Rhine-Westphalia, Bavaria, Austria",Eggs,"eggs, mayonnaise, mustard, pickles, onion, celery, parsley, salt, pepper",boiled,"vegetarian, omnivore","breakfast, anytime","with bacon, with herbs, with horseradish","creamy, savory, tangy, aromatic, mild",boiling,15,
Eierschecke,Custard cake with a layer of quark.,"Mecklenburg-Vorpommern, Brandenburg, Poland",Quark,"quark, eggs, sugar, flour, lemon zest, vanilla, butter",creamy,"vegetarian, omnivore","breakfast, anytime","with raisins, with fruit compote","sweet, creamy, buttery, mild",baked,45,
Einfache Lebkuchenherzen,"Heart-shaped spiced cookies, often decorated with icing.","Bavaria, Thuringia, Austria, Switzerland",Flour,"Flour, honey, sugar, butter, eggs, spices, candied fruit, lemon zest",baked,"vegetarian, kosher",anytime,"decorated, plain, filled","sweet, aromatic, spicy, fruity",baking,30,
Eisbein,"Pickled and cooked pork knuckle, often served with sauerkraut and potatoes.","Rhineland, Bavaria, Austria",Pork Knuckle,"pork knuckle, salt, pepper, bay leaf, juniper berries, vinegar, water, sauerkraut, potatoes",boiled,omnivore,"lunch, dinner","smoked, grilled","savory, smoky, tangy, aromatic",boiling,180,
Eisbein in Aspik mit Bratkartoffeln,Pickled ham hock with aspic and fried potatoes.,"North Rhine-Westphalia, Bavaria, Austria",Ham Hock,"ham hock, gelatin, vinegar, water, carrots, onions, bay leaf, peppercorns, potatoes, oil, salt, pepper",boiled,omnivore,"lunch, dinner","without aspic, with sauerkraut","savory, umami, tangy, aromatic",boiling,180,ham hock
Endiviensalat mit Kartoffeln,Bitter greens salad with potatoes and a vinaigrette dressing.,"North Rhine-Westphalia, Netherlands, Austria",Endive,"endive, potatoes, red onion, vinegar, oil, mustard, salt, pepper",raw,"vegetarian, vegan, omnivore","lunch, anytime","with bacon, with apples, with cheese","bitter, sour, savory, aromatic, tangy",boiled,15,
Ente im Backofen mit Niedrigtemperatur,Roasted duck cooked at a low temperature.,"Bavaria, Austria, Switzerland",Duck,"duck, apples, onions, carrots, celery, red wine, broth, herbs, salt, pepper",roasted,omnivore,dinner,"with red cabbage, with dumplings, with gravy","savory, aromatic, buttery, smoky",roasting,150,whole duck
Ente mit Orangenrotkohl,Roasted duck served with braised red cabbage.,"Bavaria, Baden-Württemberg, Austria",Duck,"duck, red cabbage, orange, apple, onion, vinegar, sugar, spices, broth",roasted,omnivore,dinner,"with dumplings, with gravy, with potato gratin","sweet, sour, savory, aromatic, fruity",roasting,90,whole duck
Entenkeulen nach Omas Rezept,Roasted duck legs cooked with traditional herbs and vegetables.,"Bavaria, Austria, Switzerland",Duck,"duck legs, potatoes, carrots, onions, garlic, rosemary, thyme, salt, pepper, vegetable oil",roasted,omnivore,dinner,"braised, smoked","savory, aromatic, smoky, buttery",roasting,120,duck leg
Erbseneintopf,Hearty soup with peas and vegetables.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Peas,"peas, carrots, celery, potatoes, onions, broth, bay leaf, thyme, salt, pepper",boiled,"vegetarian, vegan, omnivore","lunch, dinner","with smoked sausage, with bacon, with root vegetables","savory, umami, earthy, aromatic",boiling,45,
